month_year,Total Gross Income Tax Division, Total refunds from the Income Tax Department ,Total Income Tax Division Net,Income tax for self-employed individuals and companies (advances and deductions),Deductions and the capital market,Real estate taxation,Independents advances,Self-employed tax differences,Independent Cancellations,Companies advances,tax differential companies,Cancellation companies,Property tax,praise tax,Real estate purchase tax,Deduction from salary,Goods and services,Non-profit institution tax,VAT Financial Institutions (Salary),excess expenses,Bonds and dividends,Cancellations Deductions,Companies returns,self employed returns, Capital Gains Tax Refunds , Purchase returns 
Jul-00,"7,709,586","-465,625","7,243,961.00","2,404,235","4,980,500","324,852","593,135","240,287","-4,635.00","1,195,483","449,945","-69,980.00","38,592","102,179","167,835","4,037,888","291,039","368,442","98,144","69,084","29,541","-14,954.00","-178,976.00","-264,888.00","-11,722","-5,349"
Aug-00,"7,628,842","-562,221","7,066,621.00","2,519,104","4,750,559","359,180","413,464","217,431","-2,402.00","1,355,235","536,242",-866,"34,828","105,432","194,028","3,770,053","334,984","373,167","87,383","64,423","13,316","-8,855.00","-251,298.00","-288,636.00","-9,456","-5,791"
Sep-00,"7,744,434","-477,180","7,267,254.00","2,556,664","4,879,029","308,740","607,689","227,803","-8,632.00","1,269,351","464,295","-3,842.00","37,448","98,947","153,090","3,966,152","274,374","351,878","87,444","75,508","64,801","-37,763.00","-204,226.00","-253,299.00","-9,694","-4,076"
Oct-00,"7,479,394","-406,811","7,072,583.00","2,427,193","4,761,403","290,798","359,133","316,703","-4,470.00","1,398,916","360,499","-3,588.00","23,964","92,684","148,770","3,833,142","342,975","328,275","90,768","73,096","17,877","-19,825.00","-212,782.00","-171,104.00","-12,375","-3,573"
Nov-00,"7,764,650","-503,295","7,261,355.00","2,400,854","5,020,664","343,131","588,437","221,470","-7,914.00","1,191,375","415,342","-7,856.00","30,854","134,089","148,444","4,019,317","300,935","398,726","94,393","83,930","22,074","-17,854.00","-261,326.00","-206,433.00","-9,982","-6,960"
Dec-00,"6,497,909","-840,765","5,657,144.00","1,545,190","4,645,549","307,170","357,846","157,797","-5,197.00","655,874","382,492","-3,622.00","34,109","113,154","139,773","3,728,470","307,462","305,489","72,184","70,453","84,671","-13,080.00","-613,064.00","-203,161.00","-13,050","-4,285"
1-Jan,"8,214,621","-325,411","7,889,210.00","2,764,116","5,175,828","274,678","350,355","951,597","-3,844.00","25,026","1,453,340","-12,358.00","21,278","94,162","136,545","4,198,773","302,980","354,537","81,876","126,854","25,599","-21,429.00","-181,077.00","-129,846.00","-6,609","-3,752"
1-Feb,"7,635,837","-456,287","7,179,550.00","2,337,798","5,027,834","270,205","374,873","238,357","-4,395.00","1,066,570","665,363","-2,970.00","17,055","89,281","141,309","4,094,329","292,042","370,314","71,018","68,446","46,317","-12,947.00","-335,109.00","-104,135.00","-7,939","-4,896"
1-Mar,"8,544,679","-297,676","8,247,003.00","2,870,426","5,370,491","303,762","537,247","184,743","-5,363.00","1,114,669","1,042,507","-3,377.00","19,368","115,943","146,385","4,263,659","328,128","539,633","84,189","63,701","18,837","-27,069.00","-171,391.00","-105,101.00","-9,469","-6,580"
1-Apr,"7,014,328","-281,334","6,732,994.00","2,107,751","4,662,875","243,701","343,183","164,366","-4,046.00","1,140,878","466,023","-2,653.00","20,982","84,628","119,899","3,890,207","241,078","295,253","89,693","68,558","19,793","-14,499.00","-187,877.00","-80,948.00","-3,842","-4,226"
1-May,"7,955,201","-416,272","7,538,929.00","2,220,363","5,442,644","292,194","543,232","196,627","-4,880.00","1,093,598","393,900","-2,114.00","17,651","90,959","160,360","4,653,382","264,772","309,957","111,971","68,546","39,594","-81,038.00","-219,730.00","-176,283.00","-7,509","-6,311"
1-Jun,"7,397,247","-471,957","6,925,290.00","2,267,205","4,850,130","279,911","336,536","298,620","-4,655.00","1,212,126","437,678","-13,100.00","22,368","99,138","136,001","3,852,372","280,789","387,718","93,734","66,881","98,876","-47,724.00","-169,726.00","-282,475.00","-9,497","-6,253"
1-Jul,"8,594,088","-601,339","7,992,749.00","2,737,179","5,585,545","271,363","577,728","415,125","-4,065.00","1,149,944","601,663","-3,216.00","20,323","90,265","138,000","4,538,586","367,923","424,089","95,808","68,722","26,501","-29,927.00","-273,299.00","-302,825.00","-14,670","-6,229"
1-Aug,"7,813,737","-536,036","7,277,701.00","2,200,406","5,344,922","268,409","362,618","188,094","-4,912.00","1,243,319","417,201","-5,914.00","17,112","86,979","144,234","4,330,499","222,575","469,481","85,324","72,570","42,875","-17,017.00","-245,350.00","-276,816.00","-4,824","-5,218"
1-Sep,"7,691,967","-452,725","7,239,242.00","2,331,688","5,111,589","248,690","608,037","196,155","-2,972.00","1,077,981","454,601","-2,114.00","13,893","81,003","128,746","4,257,464","243,898","404,138","87,211","72,343","8,639","-74,240.00","-247,308.00","-181,877.00","-9,923","-7,635"
1-Oct,"6,564,896","-484,803","6,080,093.00","1,849,429","4,508,917","206,549","315,296","199,267","-7,476.00","964,349","383,180","-5,187.00","11,717","62,511","116,687","3,677,955","193,640","390,745","73,939","69,640","20,469","-12,075.00","-269,109.00","-203,352.00","-4,129","-5,504"
1-Nov,"7,130,906","-696,768","6,434,138.00","2,100,918","4,789,304","240,683","590,687","163,695","-4,052.00","934,812","419,630","-3,854.00","16,600","86,098","116,170","3,925,672","249,619","341,542","66,068","80,049","51,330","-14,803.00","-430,219.00","-238,646.00","-16,048","-7,256"
1-Dec,"6,519,826","-718,213","5,801,613.00","1,578,501","4,651,223","290,102","316,902","218,840","-5,011.00","580,928","469,138","-2,296.00","17,635","112,164","136,550","3,731,255","258,854","386,769","82,649","74,863","22,727","-15,383.00","-507,473.00","-189,132.00","-8,489","-6,682"
2-Jan,"7,720,189","-502,076","7,218,113.00","2,114,141","5,368,796","237,251","6,012","880,771","-6,157.00","19,351","1,217,904","-3,740.00","14,536","75,263","133,841","4,336,366","314,329","407,516","95,805","119,863","22,389","-27,469.00","-315,525.00","-168,537.00","-8,743","-4,974"
2-Feb,"7,872,957","-687,853","7,185,104.00","2,543,389","5,060,895","268,672","334,003","363,519","-6,934.00","1,041,731","813,805","-2,735.00","11,887","87,548","148,843","4,112,414","258,212","400,756","62,256","66,467","68,806","-9,346.00","-546,413.00","-124,127.00","-8,414","-5,343"
2-Mar,"7,563,747","-572,843","6,990,904.00","2,424,442","4,855,173","284,132","538,062","254,093","-3,843.00","1,035,849","602,770","-2,489.00","13,624","102,958","151,580","4,137,537","209,374","290,841","95,236","63,548","15,141","-35,711.00","-441,297.00","-117,801.00","-4,165","-5,032"
