month_year,Total Gross Income Tax Division, Total refunds from the Income Tax Department ,Total Income Tax Division Net,Income tax for self-employed individuals and companies (advances and deductions),Deductions and the capital market,Real estate taxation,Independents advances,Self-employed tax differences,Independent Cancellations,Companies advances,tax differential companies,Cancellation companies,Property tax,praise tax,Real estate purchase tax,Deduction from salary,Goods and services,Non-profit institution tax,VAT Financial Institutions (Salary),excess expenses,Bonds and dividends,Cancellations Deductions,Companies returns,self employed returns, Capital Gains Tax Refunds , Purchase returns 
18-Oct,"14,476,752","-1,214,102","13,262,650.00","5,364,266","8,037,327","1,075,160","734,110","632,345","-8,829.00","3,263,032","754,846","-11,238.00","1,531","493,405","582,796","5,578,326","562,173","1,046,205","215,055","86,495","181,529","-14,245.00","-621,943.00","-487,435.00","-53,143","-32,410"
18-Nov,"14,444,134","-1,482,670","12,961,464.00","5,602,471","7,970,509","871,154","1,003,603","684,842","-7,119.00","3,230,147","702,833","-11,835.00","2,483","345,566","525,966","5,503,976","626,556","1,011,842","221,139","83,555","244,439","-139,621.00","-769,848.00","-557,695.00","-52,409","-27,924"
18-Dec,"14,745,667","-1,226,128","13,519,539.00","5,735,018","7,949,452","1,061,195","759,443","952,475","-5,162.00","2,356,115","1,682,665","-10,518.00","5,008","482,709","577,122","5,216,854","647,426","1,056,683","215,463","78,864","499,057","-10,917.00","-606,978.00","-515,356.00","-44,312","-36,187"
19-Jan,"19,060,825","-2,009,692","17,051,133.00","8,203,424","9,692,008","1,165,392","17,699","2,854,512","-40,276.00","520,841","4,871,787","-21,139.00","2,742","481,900","682,221","6,093,799","1,010,221","1,011,714","241,946","163,463","1,025,310","-25,397.00","-1,407,650.00","-492,376.00","-38,248","-30,638"
19-Feb,"15,045,279","-2,708,142","12,337,137.00","6,019,357","8,019,492","1,006,428","485,242","1,011,220","-9,191.00","2,942,760","1,639,298","-49,972.00","1,888","411,662","594,210","5,592,114","664,661","975,600","238,574","69,498","194,521","-8,431.00","-2,126,446.00","-443,870.00","-78,879","-30,080"
19-Mar,"15,727,208","-1,491,104","14,236,104.00","6,262,261","8,450,711","1,014,237","992,066","722,714","-7,077.00","3,289,401","1,271,633","-6,476.00","2,801","432,476","585,607","5,994,869","615,476","1,103,750","183,453","76,675","193,078","-11,823.00","-984,459.00","-397,939.00","-44,263","-28,726"
19-Apr,"15,358,609","-1,227,819","14,130,790.00","5,503,090","9,000,500","855,019","537,391","900,553","-4,007.00","3,163,394","913,699","-7,940.00","2,004","361,665","492,724","6,373,482","633,351","958,888","262,469","73,545","188,498","-6,875.00","-831,921.00","-287,055.00","-32,680","-30,539"
19-May,"16,057,705","-1,201,993","14,855,712.00","5,849,557","9,054,034","1,154,114","1,062,606","642,474","-13,338.00","3,388,837","782,533","-13,555.00","3,703","430,695","721,010","6,162,553","827,708","1,020,812","318,741","79,988","220,172","-10,240.00","-695,260.00","-372,748.00","-44,048","-24,665"
19-Jun,"13,569,244","-1,142,161","12,427,083.00","4,924,171","7,648,724","996,349","579,802","595,580","-5,849.00","3,137,784","622,011","-5,157.00",663,"398,243","599,821","5,028,909","779,931","1,008,573","239,151","71,918","219,190","-4,884.00","-581,155.00","-447,361.00","-42,167","-35,027"
19-Jul,"16,704,765","-1,444,422","15,260,343.00","6,194,139","9,461,831","1,048,794","1,080,719","898,859","-12,156.00","3,152,432","1,082,443","-8,158.00","4,096","420,846","627,589","6,322,913","733,443","1,319,215","252,142","86,268","320,265","-18,849.00","-709,949.00","-651,079.00","-35,851","-26,963"
19-Aug,"14,674,151","-1,356,357","13,317,794.00","5,479,103","8,157,784","1,037,264","611,933","710,416","-35,192.00","3,471,654","747,864","-27,572.00","1,153","401,269","638,437","5,379,489","734,187","1,101,257","264,630","84,766","252,451","-15,696.00","-534,102.00","-675,618.00","-42,333","-30,991"
19-Sep,"15,247,464","-1,012,777","14,234,687.00","5,538,740","8,686,360","1,022,363","1,073,253","547,337","-10,544.00","3,395,593","592,533","-59,432.00","1,194","458,171","568,797","5,860,764","755,825","1,083,793","234,489","82,299","291,572","-12,341.00","-472,997.00","-478,933.00","-28,284","-17,007"
19-Oct,"11,607,341","-883,986","10,723,355.00","4,270,776","6,545,688","790,876","639,022","491,557","-8,511.00","2,481,365","677,881","-10,538.00",600,"317,594","474,961","4,289,070","454,986","884,596","168,705","53,674","222,319","-6,586.00","-417,750.00","-393,729.00","-28,784","-23,689"
19-Nov,"17,718,210","-1,522,941","16,195,269.00","6,943,479","9,704,140","1,070,590","1,138,555","1,085,612","-30,226.00","3,960,465","797,550","-8,477.00","1,457","428,131","641,653","6,698,993","835,855","1,205,559","268,408","100,218","224,662","-9,156.00","-837,352.00","-581,348.00","-62,327","-26,987"
19-Dec,"15,935,956","-2,100,511","13,835,445.00","6,351,254","8,431,586","1,153,116","717,309","1,546,982","-15,330.00","2,227,599","1,884,957","-10,263.00","3,454","504,374","647,502","5,204,193","973,235","1,133,275","180,719","78,843","557,319","-17,545.00","-1,191,895.00","-781,485.00","-75,439","-29,075"
20-Jan,"20,988,506","-1,922,328","19,066,178.00","8,540,320","11,153,055","1,295,130","21,489","3,937,639","-12,518.00","91,482","4,519,901","-17,673.00","1,183","513,903","784,424","6,634,099","1,356,584","1,006,210","233,818","180,963","1,070,401","-16,536.00","-1,252,588.00","-569,533.00","-41,808","-30,465"
20-Feb,"16,100,226","-2,165,078","13,935,148.00","5,823,461","8,801,570","1,475,196","513,605","1,020,534","-6,818.00","3,013,061","1,291,778","-8,699.00",773,"596,823","882,306","5,925,780","741,978","1,085,537","268,632","73,564","223,285","-35,015.00","-1,612,173.00","-457,187.00","-44,606","-29,370"
20-Mar,"15,744,711","-3,483,203","12,261,508.00","5,127,200","9,584,648","1,032,862","846,731","722,413","-11,155.00","2,806,446","779,811","-17,046.00","2,439","370,615","664,825","6,459,202","759,139","1,073,944","218,250","73,680","297,960","-17,573.00","-2,763,482.00","-605,066.00","-35,114","-22,012"
20-Apr,"13,762,266","-1,404,500","12,357,766.00","3,980,477","9,105,593","676,196","453,774","338,458","-12,437.00","2,450,540","767,947","-17,805.00",447,"269,591","411,245","6,256,189","797,487","1,017,884","276,889","62,902","104,488","-14,906.00","-977,757.00","-343,389.00","-41,274","-20,528"
20-May,"13,638,461","-1,326,454","12,312,007.00","4,580,605","8,237,806","820,048","928,605","682,368","-12,884.00","2,451,979","554,670","-24,133.00",357,"319,857","507,712","5,641,394","686,675","1,082,340","204,265","67,208","345,195","-18,814.00","-773,003.00","-473,592.00","-35,157","-28,427"
20-Jun,"14,029,413","-1,602,293","12,427,120.00","5,470,235","7,823,599","735,579","866,864","606,453","-7,844.00","2,872,341","1,141,550","-9,129.00",797,"337,090","400,822","5,394,920","680,488","1,024,840","223,205","61,397","160,668","-13,971.00","-623,411.00","-876,967.00","-40,274","-23,897"
20-Jul,"16,707,684","-1,460,900","15,246,784.00","6,012,776","9,667,863","1,027,045","1,114,409","789,155","-17,581.00","2,930,621","1,210,535","-14,363.00","1,257","474,847","555,453","7,071,472","657,691","1,116,809","158,979","59,079","230,392","-54,283.00","-739,651.00","-637,961.00","-35,460","-27,994"
20-Aug,"14,797,241","-1,302,481","13,494,760.00","5,508,709","8,129,206","1,159,325","631,140","872,142","-15,006.00","3,042,126","987,036","-8,729.00","1,750","478,366","684,061","5,575,966","661,467","1,076,273","180,501","51,506","261,635","-11,133.00","-560,239.00","-615,577.00","-56,955","-41,357"
20-Sep,"15,685,718","-1,056,448","14,629,270.00","5,922,506","8,946,193","817,019","1,054,965","918,187","-9,036.00","3,029,746","940,036","-11,392.00","2,348","319,024","499,556","6,367,483","762,288","1,006,861","162,308","65,477","253,156","-10,184.00","-474,290.00","-514,719.00","-27,090","-23,280"
20-Oct,"14,360,363","-1,110,754","13,249,609.00","5,174,092","8,312,035","874,237","640,055","638,772","-13,650.00","3,153,397","813,779","-58,261.00",159,"357,804","521,199","6,061,551","643,330","857,869","140,837","61,256","214,371","-25,216.00","-602,238.00","-446,723.00","-22,192","-15,408"
20-Nov,"15,821,146","-1,201,127","14,620,019.00","6,424,100","8,310,145","1,086,901","1,077,876","675,769","-42,257.00","3,930,351","793,300","-10,939.00",599,"440,176","652,098","5,825,445","719,122","1,020,615","213,802","59,425","209,547","-13,035.00","-597,966.00","-506,031.00","-50,956","-24,460"
20-Dec,"15,289,882","-1,291,478","13,998,404.00","5,523,793","8,522,287","1,243,802","697,044","1,176,749","-11,204.00","2,600,951","1,079,665","-19,412.00","2,224","541,092","704,902","5,647,131","674,330","927,740","127,149","56,784","673,963","-14,575.00","-624,183.00","-562,220.00","-58,380","-30,147"
21-Jan,"22,977,582","-1,580,392","21,397,190.00","10,467,618","11,378,707","1,131,256","29,075","3,780,262","-10,115.00","194,484","6,503,454","-29,542.00",532,"450,983","685,773","7,611,294","1,112,234","950,433","191,960","112,402","1,054,725","-164,513.00","-979,977.00","-494,123.00","-43,037","-43,717"
21-Feb,"17,442,657","-1,943,968","15,498,689.00","6,489,411","9,675,967","1,277,279","523,685","1,052,171","-13,163.00","3,061,414","1,878,868","-13,564.00",434,"447,763","832,545","6,743,051","667,550","910,443","154,718","51,335","307,204","-30,824.00","-1,447,695.00","-413,520.00","-32,987","-27,776"
21-Mar,"18,517,882","-1,261,290","17,256,592.00","6,521,382","10,557,127","1,439,374","1,017,798","1,221,450","-21,428.00","3,184,818","1,130,591","-11,847.00",501,"494,254","947,545","7,378,238","709,213","1,051,859","138,804","53,657","302,946","-18,964.00","-830,276.00","-332,393.00","-29,385","-33,289"
21-Apr,"18,754,062","-1,305,648","17,448,414.00","6,257,389","10,874,762","1,621,912","707,461","962,133","-19,952.00","3,558,691","1,103,797","-54,741.00",261,"704,314","926,939","7,820,609","931,400","1,044,419","170,457","54,464","249,660","-17,981.00","-747,522.00","-369,072.00","-44,334","-27,118"
21-May,"17,989,954","-1,436,762","16,553,192.00","6,435,119","10,096,594","1,458,241","1,142,702","950,979","-19,549.00","3,505,146","883,060","-27,219.00",931,"562,748","899,233","6,834,858","986,923","1,052,606","152,540","59,681","410,839","-17,506.00","-820,292.00","-448,493.00","-31,542","-23,884"
21-Jun,"17,906,994","-1,898,429","16,008,565.00","7,145,576","8,974,655","1,786,762","745,233","1,607,896","-8,697.00","3,799,250","1,062,739","-60,845.00","2,274","731,146","1,058,694","6,190,561","842,584","1,126,356","126,827","58,395","441,441","-254,927.00","-1,155,336.00","-589,267.00","-36,129","-71,118"
21-Jul,"21,808,785","-1,401,039","20,407,746.00","8,656,317","11,473,899","1,908,569","1,465,197","1,611,984","-22,917.00","4,060,680","1,564,011","-22,638.00",939,"873,298","1,039,148","8,153,833","886,380","1,181,484","123,528","65,061","491,764","-39,362.00","-699,165.00","-595,709.00","-43,691","-28,593"
21-Aug,"20,167,221","-1,495,485","18,671,736.00","7,380,244","10,549,650","2,187,327","869,925","1,346,179","-11,387.00","4,063,012","1,167,501","-54,986.00","1,081","831,924","1,358,508","7,154,964","1,265,458","1,030,668","139,507","63,758","464,647","-16,928.00","-621,303.00","-606,072.00","-56,522","-43,661"
21-Sep,"18,241,101","-681,067","17,560,034.00","6,547,059","10,067,425","1,576,616","1,027,347","798,836","-15,659.00","3,745,335","1,018,643","-27,443.00",656,"549,623","1,029,230","6,871,019","942,979","983,567","133,735","62,770","356,183","-20,627.00","-279,860.00","-344,188.00","-18,747","-19,408"
21-Oct,"19,940,560","-1,256,648","18,683,912.00","7,325,933","10,112,580","2,452,047","1,122,545","1,082,345","-52,009.00","4,408,873","791,524","-27,345.00","7,660","1,003,571","1,445,654","7,066,125","710,269","1,256,089","123,197","60,820","389,973","-18,764.00","-653,936.00","-528,522.00","-32,314","-22,319"
21-Nov,"21,818,799","-1,272,805","20,545,994.00","9,083,292","10,320,450","2,365,057","1,422,488","1,399,915","-74,426.00","4,495,082","1,861,316","-21,083.00","1,256","944,218","1,426,958","7,049,162","1,120,975","1,086,933","128,553","65,896","497,955","-20,177.00","-594,918.00","-559,856.00","-66,882","-30,616"
21-Dec,"22,110,270","-1,324,475","20,785,795.00","8,396,881","11,168,930","2,514,460","866,496","1,805,138","-13,209.00","4,406,096","1,353,565","-21,205.00","7,475","1,079,156","1,438,785","6,792,828","987,055","1,137,870","119,013","66,318","1,294,242","-19,636.00","-630,222.00","-575,293.00","-59,895","-36,925"
22-Jan,"32,891,977","-1,790,973","31,101,004.00","15,719,390","14,640,945","2,531,641","55,204","4,315,964","-20,670.00","183,629","11,227,330","-42,067.00","2,621","1,040,907","1,493,996","9,152,962","2,034,158","939,041","172,696","141,139","1,752,287","-76,074.00","-1,178,166.00","-500,698.00","-56,120","-36,648"
22-Feb,"22,729,436","-1,712,927","21,016,509.00","9,719,320","10,812,422","2,197,694","639,810","1,758,680","-55,762.00","4,255,972","3,152,065","-31,445.00","1,071","944,163","1,262,461","7,746,720","698,886","1,063,838","118,808","54,898","426,579","-20,147.00","-1,182,774.00","-441,630.00","-42,479","-24,522"
22-Mar,"22,863,994","-1,597,354","21,266,640.00","9,360,795","11,318,321","2,579,876","1,420,826","1,394,371","-45,770.00","4,474,850","2,161,362","-44,844.00","2,925","1,119,751","1,462,700","8,448,553","914,658","973,014","141,555","57,316","464,662","-180,354.00","-1,473,300.00","-433,149.00","-33,643","-31,018"
22-Apr,"22,293,713","-1,156,054","21,137,659.00","8,572,113","11,789,821","1,931,780","767,794","1,457,603","-33,857.00","4,943,230","1,465,016","-27,673.00","2,729","979,060","955,942","8,591,254","1,010,670","931,332","154,116","63,151","457,053","-17,888.00","-696,078.00","-346,159.00","-37,385","-22,405"
22-May,"25,014,202","-1,580,338","23,433,864.00","9,189,055","13,087,296","2,737,852","1,422,234","1,232,233","-25,554.00","5,108,043","1,468,767","-16,668.00","1,040","995,056","1,746,796","9,773,838","990,741","1,155,145","226,738","66,317","476,314","-27,631.00","-865,917.00","-537,404.00","-55,242","-36,433"
22-Jun,"21,364,251","-1,430,977","19,933,274.00","9,110,137","9,697,210","2,556,905","902,908","1,605,127","-15,258.00","4,882,254","1,754,215","-19,109.00","1,519","1,188,675","1,376,817","6,702,764","806,304","996,097","165,181","58,941","550,393","-16,232.00","-663,161.00","-654,383.00","-55,775","-35,984"
22-Jul,"23,479,149","-1,466,938","22,012,211.00","9,779,485","11,465,113","2,234,551","1,727,343","1,446,577","-39,666.00","5,161,228","1,514,166","-30,163.00","10,729","909,360","1,319,363","8,126,956","926,382","1,449,910","131,941","74,823","525,156","-29,573.00","-656,786.00","-701,569.00","-40,955","-22,932"
22-Aug,"22,610,659","-1,562,045","21,048,614.00","10,168,845","10,171,369","2,270,444","1,067,278","1,917,107","-19,268.00","5,724,992","1,517,760","-39,024.00","1,600","1,002,808","1,273,515","7,109,946","947,201","1,237,332","174,509","71,577","519,057","-22,432.00","-644,484.00","-783,730.00","-57,997","-44,798"
22-Sep,"21,151,923","-1,090,352","20,061,571.00","8,531,587","10,757,127","1,863,208","1,498,077","1,121,852","-18,038.00","4,741,287","1,202,519","-14,110.00","1,066","769,430","1,104,356","7,820,609","863,570","1,060,239","150,754","66,616","543,144","-37,193.00","-385,716.00","-605,067.00","-46,300","-36,472"
22-Oct,"20,564,815","-877,444","19,687,371.00","8,529,047","10,430,519","1,605,250","887,754","786,703","-20,488.00","5,210,284","1,684,970","-20,176.00",509,"717,451","896,758","7,259,216","670,748","1,187,900","139,740","71,313","781,717","-18,414.00","-388,720.00","-427,220.00","-29,393","-17,941"
22-Nov,"21,701,186","-1,501,552","20,199,634.00","9,030,138","10,549,702","2,121,347","1,558,121","1,339,895","-139,957.00","4,972,038","1,325,908","-25,867.00","1,815","995,347","1,129,325","7,959,318","728,768","993,884","152,072","80,759","479,323","-24,822.00","-752,829.00","-646,080.00","-48,245","-34,952"
22-Dec,"20,260,035","-1,673,284","18,586,751.00","7,733,816","10,820,922","1,705,296","870,278","1,774,064","-15,884.00","3,519,611","2,012,103","-426,356.00","2,549","847,172","860,747","7,207,675","1,218,828","1,171,038","133,710","88,232","864,398","-26,714.00","-751,636.00","-767,977.00","-84,545","-45,990"
23-Jan,"31,069,565","-2,325,366","28,744,199.00","15,291,234","13,928,505","1,849,827","37,114","4,099,226","-87,250.00","285,242","10,984,418","-27,516.00","2,959","823,051","1,028,755","9,137,458","1,433,992","1,019,090","187,704","182,784","1,800,748","-54,153.00","-1,568,762.00","-640,753.00","-50,622","-32,563"
23-Feb,"22,220,564","-1,655,672","20,564,892.00","9,509,002","10,758,119","1,953,443","744,240","1,529,280","-24,242.00","4,743,654","2,561,752","-45,682.00","2,194","719,227","1,239,301","7,988,313","854,555","1,001,296","155,543","60,061","402,157","-21,841.00","-943,266.00","-542,833.00","-56,727","-54,748"
23-Mar,"22,359,828","-1,858,588","20,501,240.00","9,252,715","11,476,414","1,630,700","1,501,074","1,347,276","-106,305.00","4,857,095","1,736,162","-82,587.00",682,"674,872","962,089","8,394,887","868,841","1,199,747","178,577","71,584","427,636","-34,085.00","-1,144,726.00","-575,007.00","-62,848","-45,815"
23-Apr,"22,090,796","-1,385,470","20,705,326.00","7,996,928","13,006,551","1,087,317","854,837","959,338","-11,865.00","5,335,919","874,992","-16,293.00",664,"465,117","626,432","9,665,631","967,825","1,109,172","268,841","71,022","380,435","-25,439.00","-935,620.00","-347,987.00","-50,860","-33,807"
23-May,"22,430,088","-2,176,825","20,253,263.00","8,786,549","12,176,681","1,466,859","1,534,942","1,313,967","-70,602.00","5,030,097","1,117,146","-139,001.00","1,116","637,318","833,125","8,497,580","880,169","1,140,000","138,517","70,291","1,025,759","-21,818.00","-1,340,228.00","-686,079.00","-59,976","-61,791"
23-Jun,"20,221,964","-1,966,967","18,254,997.00","8,182,299","10,801,605","1,238,060","929,354","1,093,857","-19,492.00","5,051,842","1,161,307","-34,569.00","5,597","583,108","659,568","7,453,648","1,064,405","1,066,900","130,390","62,554","526,625","-16,971.00","-902,006.00","-871,298.00","-59,492","-54,292"
23-Jul,"23,442,165","-2,122,449","21,319,716.00","9,074,927","13,069,865","1,297,374","1,546,066","1,187,716","-45,876.00","5,152,762","1,248,479","-14,220.00","6,261","555,003","742,964","9,263,295","1,002,487","1,525,123","148,624","80,344","478,989","-24,777.00","-1,044,882.00","-901,469.00","-89,049","-54,677"
23-Aug,"20,779,497","-2,071,899","18,707,598.00","8,277,986","11,224,946","1,276,564","958,420","1,292,428","-12,769.00","5,087,923","966,133","-14,149.00",631,"505,765","777,130","8,050,383","846,684","1,162,744","150,963","78,234","544,661","-22,636.00","-885,314.00","-1,011,066.00","-77,429","-41,250"
23-Sep,"21,467,214","-1,543,333","19,923,881.00","8,095,997","12,372,854","998,363","1,577,072","821,828","-13,713.00","4,822,731","902,483","-14,404.00",416,"378,114","625,730","8,572,176","1,328,066","1,139,419","221,096","79,036","401,522","-16,513.00","-689,349.00","-743,488.00","-49,746","-33,101"
23-Oct,"18,983,509","-2,342,512","16,640,997.00","6,722,938","11,119,895","1,140,675","748,739","901,238","-21,500.00","4,530,866","594,090","-30,495.00",656,"506,935","641,813","7,837,759","785,182","1,177,622","151,663","69,775","538,901","-37,710.00","-1,290,498.00","-925,977.00","-65,433","-32,702"
23-Nov,"18,826,956","-1,887,161","16,939,795.00","6,775,616","11,130,570","920,769","1,352,479","791,042","-140,349.00","4,196,204","603,796","-27,556.00","1,150","358,116","568,918","7,897,951","1,122,623","1,062,792","153,690","78,998","440,997","-17,203.00","-914,958.00","-833,481.00","-60,970","-44,445"
23-Dec,"19,511,321","-1,551,667","17,959,654.00","7,544,386","11,132,907","834,029","857,229","1,094,821","-24,520.00","3,650,848","1,989,492","-23,484.00","1,593","336,232","501,205","7,587,189","884,031","1,227,930","152,944","76,509","793,379","-34,067.00","-744,526.00","-681,385.00","-48,722","-48,929"
24-Jan,"30,254,100","-2,110,529","28,143,571.00","14,420,468","14,455,514","1,378,118","7,614","3,747,161","-47,830.00","408,546","10,364,371","-59,393.00","2,545","640,472","740,239","9,642,482","1,242,252","1,088,422","136,079","167,069.00","1,494,267","-52,175.00","-1,233,617.00","-742,568.00","-45,431","-42,671"
24-Feb,"21,870,690","-2,290,368","19,580,322.00","8,971,095","11,583,009","1,316,586","734,956","1,583,223","-29,784.00","4,589,345","2,133,577","-40,222.00",866,"458,005","863,156","8,461,815","888,512","959,107","159,555","65,545.00","432,524","-24,760.00","-1,454,577.00","-654,055.00","-80,625","-54,224"
24-Mar,"23,880,721","-2,058,984","21,821,737.00","9,580,517","12,996,958","1,303,246","1,485,217","1,231,139","-87,776.00","4,901,184","2,089,590","-38,836.00","1,284","539,385","766,451","9,548,986","895,312","1,262,507","150,831","66,362.00","509,363","-36,310.00","-1,377,604.00","-538,149.00","-62,654","-36,029"
24-Apr,"23,785,187","-1,473,149","22,312,038.00","8,345,888","14,296,179","1,143,120","837,295","1,129,451","-23,775.00","5,273,000","1,185,737","-55,820.00",853,"376,593","768,653","10,651,959","908,567","1,062,677","275,183","70,137.00","527,471","-8,824.00","-964,630.00","-415,275.00","-29,365","-41,110"
24-May,"24,170,708","-2,414,900","21,755,808.00","9,462,109","13,225,697","1,482,902","1,738,056","1,702,405","-37,494.00","5,015,204","1,122,945","-79,006.00",719,"559,330","928,021","8,787,727","1,681,530","997,340","190,243","69,526.00","678,702","-46,724.00","-1,401,586.00","-880,798.00","-46,033","-40,858"
24-Jun,"22,203,526","-2,260,803","19,942,723.00","8,356,895","12,511,419","1,335,212","1,181,723","1,034,028","-11,472.00","5,182,406","1,009,733","-39,523.00","1,383","463,559","881,539","8,429,085","1,296,988","1,178,941","173,183","65,570.00","523,270","-14,475.00","-1,317,536.00","-820,423.00","-40,397","-40,921"
24-Jul,"26,322,906","-3,468,742","22,854,164.00","9,924,942","14,791,143","1,606,821","1,596,132","1,341,295","-48,094.00","5,404,810","1,682,662","-51,864.00","1,867","576,376","1,035,680","10,262,827","1,028,582","1,275,653","152,551","73,475.00","600,130","-34,027.00","-2,150,779.00","-1,100,206.00","-134,732","-27,679"
24-Aug,"23,514,998","-2,224,597","21,290,401.00","8,881,980","13,168,840","1,464,178","1,133,072","982,147","-142,146.00","5,950,153","982,061","-23,306.00","1,173","505,891","965,787","9,129,968","1,045,465","1,353,683","151,484","68,491.00","480,431","-142,675.00","-1,008,054.00","-1,030,473.00","-79,462","-44,205"
24-Sep,"23,238,768","-2,017,410","21,221,358.00","9,223,729","12,536,391","1,478,648","1,641,895","956,801","-19,777.00","5,696,288","982,619","-34,096.00",945,"535,850","948,202","8,710,488","1,139,673","1,134,255","162,615","73,949.00","403,200","-65,201.00","-930,836.00","-956,126.00","-59,013","-33,060"
24-Oct,"22,358,171","-1,472,766","20,885,405.00","8,651,707","12,431,164","1,275,300","1,026,697","900,708","-58,802.00","5,711,302","1,082,246","-10,445.00",861,"465,174","812,934","8,640,453","941,802","1,151,882","152,580","76,910.00","646,700","-57,400.00","-653,961.00","-731,068.00","-36,035","-30,540"
24-Nov,"23,599,157","-1,808,876","21,790,281.00","9,350,523","12,670,193","1,578,441","1,720,385","809,501","-30,273.00","5,745,659","1,152,690","-47,439.00","1,725","511,678","1,069,964","8,782,156","1,226,461","1,102,552","136,258","75,819.00","631,954","-26,476.00","-800,437.00","-762,172.00","-54,116","-47,704"
24-Dec,"24,478,941","-2,005,037","22,473,904.00","8,884,258","14,101,417","1,493,266","1,634,862","1,701,034","-23,656.00","3,812,494","1,783,485","-23,961.00","11,681","540,901","944,984","8,501,925","1,439,864","1,262,439","135,117","74,030.00","1,732,384","-40,451.00","-1,008,726.00","-849,787.00","-52,383","-44,149"
25-Jan,46169561,"-2,650,218",43519343,18925525,25385959,1858078,14626,5571084,"-102,024.00",143947,13346338,"-48,446.00",975,"695,938.00",1166666,"11,933,758",2679560,1112230,148074,"164,217.00","8,251,756.00","-232,575.00","-1,534,989.00","-941,950.00","-64,714","-43,691"
25-Feb,26272572,"-2,473,465",23799107,11347667,12801393,2123512,749272,1784915,"-27,541.00",5534635,3430811,"-124,425.00",701,"928,319.00",1201344,"9,205,642.00",1134195,1249833,144825,"68,987.00","274,666.00","-388,074.00","-1,624,679.00","-683,914.00","-61,898","-43,301"
25-Mar,27543981,"-3,046,495",24497486,10970388,14819584,1754009,1713334,1157861,"-20,715.00",6558905,1586250,"-25,247.00",514,"702,259.00",1060017,"10,475,358.00",1470596,1409695,156387,"69,986.00","263,867.00","-44,417.00","-2,167,639.00","-693,069.00","-73,482","-43,468"
25-Apr,27094900,"-1,949,229",25145671,9188097,16263947,1642855,959446,797317,"-15,468.00",5856762,1604485,"-14,445.00",670,"681,703.00",966067,"11,839,209.00",1555134,1091275,250292,"73,459.00","349,817.00","-29,500.00","-1,126,929.00","-626,756.00","-60,656","-53,981"
