Type,Unnamed: 1,Unnamed: 2,Unnamed: 3,CBS,Tax,Tax.1,Tax.2,CBS.1,CBS.2,BOI,BOI.1,Boi.2,Boi.3,Boi.4,Boi.5,Boi.6,Boi.7,Tax.3,Tax.4,Tax.5,Tax.6,Tax.7,Tax.8,Tax.9,Tax.10,Tax.11,Tax.12,CBS.3,CBS.4,CBS.5,CBS.6,CBS.7,Boi.8,CBS.8,CBS.9,CBS.10,CBS.11,CBS.12
Source,,,,Real,Nominal,Nominal,Nominal,Nominal,SA,SA,Nominal,Real,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,SA,SA,SA,SA,SA,,,SA,SA,,SA
Release Lag,,,,15,0,0,0,16,12,,,,,,,,,0,0,0,0,0,0,0,0,0,0,16,16,18,94,94,,,,,,
Date,Month,Quarter,Year,CPI,dir,indir,VAT,imp,cons_trust,real_credit_card,Oil,Reer,Dollar,TA35,TA125,Nasdaq,sp500,VAT_rate,rev,rev_trade,rev_trade2,rev_food,"סה""כ אגף מס הכנסה נטו",ניכויים ושוק ההון,"סה""כ מיסי יבוא","סה""כ מיסים מקומיים","סה""כ מסים עקיפים","שיעור אבטלה (גילאי 25-64, בנקודות אחוז)","שיעור השתתפות  (גילאי 25-64, בנקודות אחוז)",שיעור תעסוקה (גילאי 25-64),שכר ריאלי,משרות שכיר,"יתרות מט""ח במליוני דולרים",מדד מחירי דירות (1993=100) - אמצע התקופה הנסקרת,"מדדי ערך רכישות בכרטיסי אשראי (סה""כ) (2002=100)","מדד הייצור התעשייתי (סה""כ)",המדד המשולב למצב המשק,דירות שנמכרו בקצב שנתי
2016-10-01 00:00:00,10,4,2016,93.5911298056,11714,9665,6886,1236,135.22,273.3,49.775238095238095,93.47,3.821733333333334,1427.6792307692308,1251.0976923076926,5255.989560095238,2143.020937904762,0.17,117.9,119.8,90.4,126.1,7086.565,4260.748,1236,1554,9676,0.03948000384233614,0.7989102629694055,0.7673692827176917,9564.846947243806,3475.98414272144,97962.72178,404.4,273.3,73.4,76.75296334982903,28992
2016-11-01 00:00:00,11,4,2016,93.2141262615,11497,11823,8493,1681,136.13,281,45.70909090909091,93.12,3.8428636363636355,1428.2372727272732,1247.376818181818,5260.565243666666,2164.985688761905,0.17,118.2,120.9,93.1,127.4,15871.018,10044.729,1681,1481,11655,0.039037690457097034,0.7989287819379308,0.7677404474513724,9589.106053942898,3536.87983159259,97126.75137,402.8,281,76.3,77.1082733370034,28596
2016-12-01 00:00:00,12,4,2016,93.2141262615,10272,10285,5407,3494,134.3,282.5,51.9704761904762,93.79,3.8283809523809516,1457.1842857142856,1272.8614285714286,5413.116658285714,2246.629052190476,0.17,120.4,122.6,93.3,126.1,11398.069,6732.159,3494,1558,10459,0.038742315573770496,0.8003074951953876,0.769301729660474,9501.509839683142,3539.08517950216,98447,402.1,282.4,76.8,77.37896522970753,27540
2017-01-01 00:00:00,1,1,2017,93.027698009,15855,11925,9280,1376,133.18,284.9,52.508500000000005,95.24,3.8181904761904764,1441.2991304347825,1264.226086956522,5561.4235,2275.1160000000004,0.17,119.8,122.4,92.8,131.9,16618.041,8377.46,1376,1502,12158,0.0387815179828491,0.7990999514178322,0.7681096422818277,9491.98974980116,3562.1956077237196,101613,402.8,284.9,77.4,77.55576947066149,25104
2017-02-01 00:00:00,2,1,2017,93.027698009,13026,9717,6756,1280,135.66,287.6,53.46842105263157,95.04,3.72905,1434.351,1271.257,5764.175789473683,2329.9105263157894,0.17,120.4,123.1,93.8,131,12779.29,7528.275,1280,1437.0807453416148,9473.080745341615,0.03768171384850803,0.7995106285364735,0.7693836978131212,9602.739187042855,3566.64370862066,102022,404.9,287.3,75,77.66189502943229,24720
2017-03-01 00:00:00,3,1,2017,93.3073403878,12370,11553,8021,1878,136.9,289.2,49.32782608695651,96.33,3.6493181818181815,1423.3176190476192,1270.1514285714284,5864.964347826087,2366.822173913043,0.17,122.4,124,93.6,128.8,12810.83,7867.188,1878,1655,11554,0.0384235825931939,0.7991706311852852,0.7684636324318824,9575.480910699704,3576.80407477565,103174,406.8,289.1,78,78.21625252018042,25488
2017-04-01 00:00:00,4,2,2017,93.4937686403,13147,10491,7465,1541,136.32,294.3,51.06052631578948,98.27,3.6496875,1396.0017647058824,1259.2329411764708,5912.16947363158,2359.309457684211,0.17,122.9,125.1,95.5,132.4,13085.28,8646.415,1541,1572,10578,0.03815120711562897,0.8001830151750082,0.7696804860069648,9638.486901188391,3566.43438003316,105142,407.7,294.2,78.8,78.60214278535268,27324
2017-05-01 00:00:00,5,2,2017,93.8666251454,13694,11711,8294,1833,138.87,287.1,48.47636363636364,97.66,3.597421052631579,1421.254736842105,1293.6715789473683,6124.878173863637,2395.345880681818,0.17,120.9,122.9,90.1,133.6,13653.739,8099.009,1833,1510,11637,0.03850545546815529,0.8024637939372343,0.7715645600549772,9756.631181360337,3581.98927539579,107367,409.5,287,77.3,78.82049921644901,27468
2017-06-01 00:00:00,6,2,2017,93.2141262615,12556,9084,5643,1529,137.15,297.6,45.177727272727275,98.56,3.531863636363636,1431.104761904762,1292.6442857142858,6228.279506190477,2434.4890485714286,0.17,123,124.3,94.7,132.5,12634.812,7441.231,1529,1751,8923,0.0380564482769593,0.7994657847875858,0.7690409564996183,9681.899754876107,3584.54822246447,108706,412.8,297.5,77.5,79.06662212378443,29688
2017-07-01 00:00:00,7,3,2017,93.1209121353,14235,13266,9502,2013,138.48,297.5,46.60000000000001,98.72,3.5509047619047616,1446.224545454545,1301.0954545454542,6294.6740235,2454.1025025,0.17,123.4,124.8,94.5,134.2,14532.578,8876.94,2013,1812,13327,0.03597122302158273,0.8003297400126823,0.7715409004438808,9727.871784199433,3592.4667168711803,110110,414.3,297.5,77.6,79.13342886642761,29868
2017-08-01 00:00:00,8,3,2017,93.4005545141,16520,10604,7025,1717,138.29,300.5,48.036956521739135,97.23,3.601136363636364,1393.8645454545454,1261.0881818181817,6307.130010217392,2455.2639372608687,0.17,126,127.2,94.1,136.6,15341.695,8324.103,1717,1744,10486,0.03576888775640209,0.7945538290226248,0.7661335222958952,9786.937995692766,3592.4423976305798,111020,415.9,300.5,76.6,79.45952716302733,29748
2017-09-01 00:00:00,9,3,2017,93.4937686403,16618,12406,9511,1391,137.53,301.1,49.822,94.78,3.537352941176471,1407.5094444444449,1279.6677777777777,6428.07900095,2492.8410126999997,0.17,123.4,125.1,93.9,131.2,18325.624,12408.933,1391,1584,12486,0.034699617608949844,0.8013929340255794,0.773559579587185,9764.132610720068,3598.85440473162,111051,414.6,301.1,76,79.57266301038591,28116
2017-10-01 00:00:00,10,4,2017,93.7734110191,19740,9782,6469,1471,137.9,307.7,51.577727272727266,95.65,3.5124000000000004,1441.682105263158,1313.2026315789474,6603.0113495,2556.99727,0.17,126.7,128.9,96.8,137,19724.973,14086.929,1471,1693,9633,0.03541049713313591,0.8016871243117644,0.7732989846946507,9710.441925893483,3621.15022838422,111309,414.5,307.7,78.2,80.02837272349068,28704
2017-11-01 00:00:00,11,4,2017,93.4937686403,12400,11161,7987,1480,139.35,307.1,56.63857142857143,97.44,3.517227272727273,1424.5045454545455,1304.58,6796.045399904762,2593.6057207619046,0.17,127.7,128.6,96,137.5,12495.543,7445.201,1480,1713,11180,0.03597780160181623,0.8016683518705764,0.7728260869565218,9764.10393663418,3630.43681840092,112079,411.9,307.1,79.5,80.38480697938549,30804
2017-12-01 00:00:00,12,4,2017,93.5869827666,8245,9979,6956,1658,139.04,307,57.881499999999996,97.1,3.50345,1477.4619047619049,1338.7090476190476,6889.740465850002,2664.3405224499998,0.17,126.8,127.8,95.9,140.4,11373.936,6934.543,1658,1629,10243,0.03465860798942299,0.8024401333737495,0.7746286753561685,9706.981467800606,3630.87186650342,113011,407.8,306.9,79.1,80.58806334859595,28776
2018-01-01 00:00:00,1,1,2018,93.1209121353,15600,13422,10136,2006,138.02,310.4,63.698571428571434,96.77,3.4232272727272726,1535.6978260869564,1395.5582608695652,7279.4980952380965,2789.803808142857,0.17,127.1,127.7,96.4,135.7,16870.356,8922.011,2006,1493,13635,0.03266919671094244,0.7977998687995156,0.7717363879497401,9813.04728797342,3654.1596001540597,117622,406.3,310.4,80.6,80.91715166623509,28044
2018-02-01 00:00:00,2,1,2018,93.2141262615,13531,10758,7313,1986,139.83,317.5,62.22947368421053,96.75,3.479100000000001,1495.676,1358.8225000000002,7161.768411842105,2705.1552662631584,0.17,127.7,127.8,97.3,140.4,12956.834,7740.207,1986,1347,10646,0.03236032642812304,0.8010459356850124,0.7750986850375883,9802.770578364112,3663.02491961377,116293,405.9,317.2,79.4,81.2306944991112,37068
2018-03-01 00:00:00,3,1,2018,93.4937686403,14264,11441,7853,1923,142.74,315.2,62.7247619047619,93.56,3.4751538461538467,1475.7980000000002,1340.1705,7311.5066964285725,2702.7738211428564,0.17,128.5,129,99.5,143.6,14193.827,8155.21,1923,1653,11429,0.03285188331917304,0.8029663693559391,0.776562144679991,9913.19560471674,3669.44798558696,116127,406.5,315.3,78.9,81.43545529590195,30396
2018-04-01 00:00:00,4,2,2018,93.8666251454,13909,10767,7653,1512,141.91,307.6,66.25380952380952,94.66,3.5385555555555555,1453.4689473684211,1321.568421052632,7084.142346523809,2653.6252092857144,0.17,127.7,125.9,93.6,139.8,13992.928,8692.514,1512,1587,10752,0.03532949135554998,0.7999599118059733,0.7716726798957707,9992.488631189339,3663.20323523891,115354,406.2,307.6,79.9,81.59774698639424,29052
